start_time,request_type,latency,response_code
1676177070070,Post,70,201
1676177070140,Post,26,201
1676177070166,Post,21,201
1676177070187,Post,24,201
1676177070211,Post,24,201
1676177070235,Post,24,201
1676177070259,Post,24,201
1676177070283,Post,26,201
1676177070309,Post,31,201
1676177070340,Post,22,201
1676177070362,Post,25,201
1676177070387,Post,53,201
1676177070440,Post,25,201
1676177070466,Post,18,201
1676177070484,Post,45,201
1676177070529,Post,23,201
1676177070552,Post,58,201
1676177070610,Post,26,201
1676177070636,Post,55,201
1676177070691,Post,27,201
1676177070718,Post,94,201
1676177070812,Post,29,201
1676177070841,Post,25,201
1676177070866,Post,28,201
1676177070894,Post,44,201
1676177070938,Post,31,201
1676177070969,Post,31,201
1676177071000,Post,23,201
1676177071023,Post,38,201
1676177071061,Post,24,201
1676177071085,Post,24,201
1676177071109,Post,48,201
1676177071157,Post,37,201
1676177071194,Post,29,201
1676177071223,Post,29,201
1676177071252,Post,23,201
1676177071275,Post,23,201
1676177071298,Post,23,201
1676177071321,Post,27,201
1676177071348,Post,27,201
1676177071375,Post,33,201
1676177071408,Post,27,201
1676177071435,Post,35,201
1676177071470,Post,22,201
1676177071492,Post,23,201
1676177071515,Post,25,201
1676177071540,Post,35,201
1676177071575,Post,48,201
1676177071623,Post,31,201
1676177071654,Post,32,201
1676177071686,Post,27,201
1676177071713,Post,23,201
1676177071736,Post,25,201
1676177071761,Post,24,201
1676177071785,Post,36,201
1676177071821,Post,22,201
1676177071843,Post,29,201
1676177071872,Post,28,201
1676177071900,Post,26,201
1676177071926,Post,29,201
1676177071955,Post,31,201
1676177071986,Post,33,201
1676177072019,Post,33,201
1676177072052,Post,41,201
1676177072093,Post,48,201
1676177072141,Post,36,201
1676177072177,Post,42,201
1676177072219,Post,24,201
1676177072243,Post,35,201
1676177072278,Post,31,201
1676177072309,Post,23,201
1676177072332,Post,25,201
1676177072357,Post,29,201
1676177072386,Post,34,201
1676177072420,Post,28,201
1676177072448,Post,21,201
1676177072469,Post,112,201
1676177072581,Post,26,201
1676177072607,Post,29,201
1676177072636,Post,35,201
1676177072671,Post,29,201
1676177072700,Post,26,201
1676177072726,Post,65,201
1676177072791,Post,49,201
1676177072840,Post,29,201
1676177072869,Post,23,201
1676177072892,Post,32,201
1676177072924,Post,17,201
1676177072941,Post,28,201
1676177072969,Post,22,201
1676177072991,Post,27,201
1676177073018,Post,28,201
1676177073046,Post,22,201
1676177073068,Post,21,201
1676177073089,Post,33,201
1676177073122,Post,37,201
1676177073159,Post,42,201
1676177073201,Post,25,201
1676177073226,Post,25,201
1676177073251,Post,27,201
